customer_id,age,gender,item_purchased,category,purchase_amount_(usd),location,size,color,season,review_rating,subscription_status,shipping_type,discount_applied,promo_code_used,previous_purchases,payment_method,frequency_of_purchases,frequency_score,promo_dependency_score,spend_norm,freq_norm,prev_norm,value_score,value_tier,satisfaction_flag,defA_score,loyal_A,defB_score,loyal_B,segment
11,53,Male,Shoes,Footwear,34,Arkansas,L,Purple,Fall,4.1,1,Store Pickup,1,1,26,Bank Transfer,Bi-Weekly,4,1.0,0.175,0.75,0.5102040816326531,0.4480612244897959,Mid,1,0.38265306122448983,1,0.0,0,Promo Dependent
12,30,Male,Shorts,Clothing,68,Hawaii,S,Olive,Winter,4.9,1,Store Pickup,1,1,10,Bank Transfer,Fortnightly,4,1.0,0.6,0.75,0.1836734693877551,0.5201020408163265,High,1,0.13775510204081634,0,0.0,0,Promo Dependent
13,61,Male,Coat,Outerwear,72,Delaware,M,Gold,Winter,4.5,1,Express,1,1,37,Venmo,Fortnightly,4,1.0,0.65,0.75,0.7346938775510204,0.7054081632653061,Champions,1,0.5510204081632654,1,0.0,0,Promo Dependent
14,65,Male,Dress,Clothing,51,New Hampshire,M,Violet,Spring,4.7,1,Express,1,1,31,PayPal,Weekly,5,1.0,0.3875,1.0,0.6122448979591837,0.6386734693877552,Champions,1,0.6122448979591837,1,0.0,0,Promo Dependent
15,64,Male,Coat,Outerwear,53,New York,L,Teal,Winter,4.7,1,Free Shipping,1,1,34,Debit Card,Weekly,5,1.0,0.4125,1.0,0.673469387755102,0.6670408163265306,Champions,1,0.673469387755102,1,0.0,0,Promo Dependent
16,64,Male,Skirt,Clothing,81,Rhode Island,M,Teal,Winter,2.8,1,Store Pickup,1,1,8,PayPal,Monthly,3,1.0,0.7625,0.5,0.14285714285714285,0.49785714285714283,High,0,0.07142857142857142,0,0.0,0,Promo Dependent
17,25,Male,Sunglasses,Accessories,36,Alabama,S,Gray,Spring,4.1,1,Next Day Air,1,1,44,Debit Card,Bi-Weekly,4,1.0,0.2,0.75,0.8775510204081632,0.568265306122449,High,1,0.6581632653061225,1,0.0,0,Promo Dependent
18,53,Male,Dress,Clothing,38,Mississippi,XL,Lavender,Winter,4.7,1,2-Day Shipping,1,1,36,Venmo,Quarterly,2,1.0,0.225,0.25,0.7142857142857143,0.3792857142857143,Mid,1,0.17857142857142858,0,0.0,0,Promo Dependent
19,52,Male,Sweater,Clothing,48,Montana,S,Black,Summer,4.6,1,Free Shipping,1,1,17,Cash,Weekly,5,1.0,0.35,1.0,0.32653061224489793,0.5379591836734693,High,1,0.32653061224489793,1,0.0,0,Promo Dependent
20,66,Male,Pants,Clothing,90,Rhode Island,M,Green,Summer,3.3,1,Standard,1,1,46,Debit Card,Bi-Weekly,4,1.0,0.875,0.75,0.9183673469387755,0.8505102040816326,Champions,0,0.6887755102040817,1,0.0,0,Promo Dependent
21,21,Male,Pants,Clothing,51,Louisiana,M,Black,Winter,2.8,1,Express,1,1,50,Cash,Every 3 Months,2,1.0,0.3875,0.25,1.0,0.53,High,0,0.25,1,0.0,0,Promo Dependent
22,31,Male,Pants,Clothing,62,North Carolina,M,Charcoal,Winter,4.1,1,Store Pickup,1,1,22,Debit Card,Quarterly,2,1.0,0.525,0.25,0.42857142857142855,0.4135714285714286,Mid,1,0.10714285714285714,0,0.0,0,Promo Dependent
23,56,Male,Pants,Clothing,37,California,M,Peach,Summer,3.2,1,Store Pickup,1,1,32,Debit Card,Annually,1,1.0,0.2125,0.0,0.6326530612244898,0.27479591836734696,Low,0,0.0,0,0.0,0,Promo Dependent
24,31,Male,Pants,Clothing,88,Oklahoma,XL,White,Winter,4.4,1,Express,1,1,40,Credit Card,Weekly,5,1.0,0.85,1.0,0.7959183673469388,0.8787755102040816,Champions,1,0.7959183673469388,1,0.0,0,Promo Dependent
25,18,Male,Jacket,Outerwear,22,Florida,M,Green,Fall,2.9,1,Store Pickup,1,1,16,Debit Card,Weekly,5,1.0,0.025,1.0,0.30612244897959184,0.40183673469387754,Mid,0,0.30612244897959184,1,0.0,0,Promo Dependent
26,18,Male,Hoodie,Clothing,25,Texas,M,Silver,Summer,3.6,1,Express,1,1,14,PayPal,Annually,1,1.0,0.0625,0.0,0.2653061224489796,0.10459183673469388,Low,1,0.0,0,0.0,0,Promo Dependent
27,38,Male,Jewelry,Accessories,20,Nevada,M,Red,Spring,3.6,1,Next Day Air,1,1,13,Credit Card,Annually,1,1.0,0.0,0.0,0.24489795918367346,0.07346938775510203,Low,1,0.0,0,0.0,0,Promo Dependent
28,56,Male,Shorts,Clothing,56,Kentucky,L,Cyan,Summer,5.0,1,Next Day Air,1,1,7,Bank Transfer,Every 3 Months,2,1.0,0.45,0.25,0.12244897959183673,0.291734693877551,Low,1,0.030612244897959183,0,0.0,0,Promo Dependent
29,54,Male,Handbag,Accessories,94,North Carolina,M,Gray,Fall,4.4,1,Free Shipping,1,1,41,PayPal,Every 3 Months,2,1.0,0.925,0.25,0.8163265306122449,0.6898979591836736,Champions,1,0.20408163265306123,0,0.0,0,Promo Dependent
30,31,Male,Dress,Clothing,48,Wyoming,S,Black,Fall,4.1,1,Store Pickup,1,1,14,Credit Card,Weekly,5,1.0,0.35,1.0,0.2653061224489796,0.5195918367346938,High,1,0.2653061224489796,1,0.0,0,Promo Dependent
31,57,Male,Jewelry,Accessories,31,North Carolina,L,Black,Winter,4.7,1,Standard,1,1,16,Credit Card,Monthly,3,1.0,0.1375,0.5,0.30612244897959184,0.29683673469387756,Low,1,0.15306122448979592,0,0.0,0,Promo Dependent
32,33,Male,Dress,Clothing,79,West Virginia,L,Brown,Winter,4.7,1,Store Pickup,1,1,45,Venmo,Monthly,3,1.0,0.7375,0.5,0.8979591836734694,0.7143877551020409,Champions,1,0.4489795918367347,1,0.0,0,Promo Dependent
33,36,Male,Jacket,Outerwear,67,Kansas,M,Silver,Summer,4.9,1,Free Shipping,1,1,37,Venmo,Annually,1,1.0,0.5875,0.0,0.7346938775510204,0.45540816326530614,Mid,1,0.0,0,0.0,0,Promo Dependent
34,54,Male,Pants,Clothing,38,Colorado,L,Green,Summer,3.3,1,Store Pickup,1,1,45,Cash,Quarterly,2,1.0,0.225,0.25,0.8979591836734694,0.43438775510204086,Mid,0,0.22448979591836735,0,0.0,0,Promo Dependent
35,36,Male,T-shirt,Clothing,91,North Dakota,L,Violet,Spring,4.6,1,2-Day Shipping,1,1,38,PayPal,Quarterly,2,1.0,0.8875,0.25,0.7551020408163265,0.656530612244898,Champions,1,0.18877551020408162,0,0.0,0,Promo Dependent
36,54,Male,Blouse,Clothing,33,Massachusetts,M,Cyan,Summer,4.0,1,2-Day Shipping,1,1,48,Credit Card,Bi-Weekly,4,1.0,0.1625,0.75,0.9591836734693877,0.5777551020408163,High,1,0.7193877551020408,1,0.0,0,Promo Dependent
37,35,Male,T-shirt,Clothing,69,Illinois,M,Maroon,Winter,4.6,1,Free Shipping,1,1,44,PayPal,Fortnightly,4,1.0,0.6125,0.75,0.8775510204081632,0.733265306122449,Champions,1,0.6581632653061225,1,0.0,0,Promo Dependent
38,35,Male,Jeans,Clothing,45,Indiana,S,Cyan,Summer,2.8,1,Store Pickup,1,1,10,PayPal,Weekly,5,1.0,0.3125,1.0,0.1836734693877551,0.4801020408163265,Mid,0,0.1836734693877551,0,0.0,0,Promo Dependent
39,29,Male,Dress,Clothing,37,Florida,M,Red,Winter,3.8,1,2-Day Shipping,1,1,44,Venmo,Every 3 Months,2,1.0,0.2125,0.25,0.8775510204081632,0.42326530612244895,Mid,1,0.2193877551020408,0,0.0,0,Promo Dependent
40,70,Male,Pants,Clothing,60,Arizona,S,Turquoise,Summer,4.2,1,Express,1,1,18,Credit Card,Monthly,3,1.0,0.5,0.5,0.3469387755102041,0.45408163265306123,Mid,1,0.17346938775510204,0,0.0,0,Promo Dependent
41,69,Male,Handbag,Accessories,76,Louisiana,L,Beige,Winter,4.6,1,Next Day Air,1,1,31,Debit Card,Quarterly,2,1.0,0.7,0.25,0.6122448979591837,0.5386734693877551,High,1,0.15306122448979592,0,0.0,0,Promo Dependent
42,67,Male,Scarf,Accessories,39,Alaska,M,Orange,Spring,4.5,1,Standard,1,1,40,Venmo,Annually,1,1.0,0.2375,0.0,0.7959183673469388,0.3337755102040816,Low,1,0.0,0,0.0,0,Promo Dependent
43,20,Male,Coat,Outerwear,100,Tennessee,M,Beige,Spring,4.1,1,Free Shipping,1,1,15,PayPal,Annually,1,1.0,1.0,0.0,0.2857142857142857,0.4857142857142857,Mid,1,0.0,0,0.0,0,Promo Dependent
44,25,Male,Scarf,Accessories,69,Ohio,L,Lavender,Fall,3.7,1,Store Pickup,1,1,19,PayPal,Fortnightly,4,1.0,0.6125,0.75,0.3673469387755102,0.580204081632653,High,1,0.2755102040816327,1,0.0,0,Promo Dependent
45,39,Male,Hat,Accessories,53,Kentucky,S,Silver,Summer,4.6,1,Free Shipping,1,1,45,PayPal,Weekly,5,1.0,0.4125,1.0,0.8979591836734694,0.7343877551020408,Champions,1,0.8979591836734694,1,0.0,0,Promo Dependent
46,50,Male,Socks,Clothing,21,Tennessee,XL,Indigo,Fall,2.9,1,2-Day Shipping,1,1,25,PayPal,Annually,1,1.0,0.0125,0.0,0.4897959183673469,0.15193877551020407,Low,0,0.0,0,0.0,0,Promo Dependent
47,57,Male,Shirt,Clothing,43,California,L,White,Summer,2.9,1,Store Pickup,1,1,45,Cash,Quarterly,2,1.0,0.2875,0.25,0.8979591836734694,0.45938775510204083,Mid,0,0.22448979591836735,0,0.0,0,Promo Dependent
48,55,Male,Jewelry,Accessories,54,Montana,M,Charcoal,Winter,4.5,1,Free Shipping,1,1,36,Cash,Weekly,5,1.0,0.425,1.0,0.7142857142857143,0.6842857142857143,Champions,1,0.7142857142857143,1,0.0,0,Promo Dependent
49,42,Male,Shirt,Clothing,55,Nevada,M,Orange,Summer,2.7,1,Store Pickup,1,1,38,Cash,Monthly,3,1.0,0.4375,0.5,0.7551020408163265,0.551530612244898,High,0,0.37755102040816324,1,0.0,0,Promo Dependent
50,68,Male,Hoodie,Clothing,30,New Jersey,S,Indigo,Spring,4.6,1,Next Day Air,1,1,34,Debit Card,Bi-Weekly,4,1.0,0.125,0.75,0.673469387755102,0.47704081632653056,Mid,1,0.5051020408163265,1,0.0,0,Promo Dependent
51,49,Male,Blouse,Clothing,28,Maryland,M,Red,Spring,3.8,1,Store Pickup,1,1,39,Debit Card,Bi-Weekly,4,1.0,0.1,0.75,0.7755102040816326,0.4976530612244898,High,1,0.5816326530612245,1,0.0,0,Promo Dependent
52,59,Male,Skirt,Clothing,59,Vermont,XL,Gray,Winter,4.7,1,2-Day Shipping,1,1,7,Credit Card,Quarterly,2,1.0,0.4875,0.25,0.12244897959183673,0.30673469387755103,Low,1,0.030612244897959183,0,0.0,0,Promo Dependent
53,42,Male,T-shirt,Clothing,20,Alaska,M,Green,Summer,2.6,1,Free Shipping,1,1,26,Credit Card,Weekly,5,1.0,0.0,1.0,0.5102040816326531,0.4530612244897959,Mid,0,0.5102040816326531,1,0.0,0,Promo Dependent
54,29,Male,Skirt,Clothing,24,Mississippi,S,Peach,Winter,3.9,1,Next Day Air,1,1,35,Credit Card,Weekly,5,1.0,0.05,1.0,0.6938775510204082,0.5281632653061225,High,1,0.6938775510204082,1,0.0,0,Promo Dependent
55,47,Male,Coat,Outerwear,94,New Mexico,M,Brown,Summer,4.2,1,Next Day Air,1,1,35,Debit Card,Bi-Weekly,4,1.0,0.925,0.75,0.6938775510204082,0.8031632653061225,Champions,1,0.5204081632653061,1,0.0,0,Promo Dependent
56,40,Male,Jacket,Outerwear,28,South Carolina,M,Lavender,Winter,3.0,1,2-Day Shipping,1,1,49,Credit Card,Annually,1,1.0,0.1,0.0,0.9795918367346939,0.33387755102040817,Low,0,0.0,0,0.0,0,Promo Dependent
57,41,Male,Backpack,Accessories,73,Mississippi,XL,Brown,Summer,4.7,1,Store Pickup,1,1,46,Credit Card,Weekly,5,1.0,0.6625,1.0,0.9183673469387755,0.8405102040816326,Champions,1,0.9183673469387755,1,0.0,0,Promo Dependent
58,21,Male,Coat,Outerwear,64,West Virginia,M,White,Summer,4.4,1,Store Pickup,1,1,17,Debit Card,Fortnightly,4,1.0,0.55,0.75,0.32653061224489793,0.5429591836734694,High,1,0.24489795918367346,1,0.0,0,Promo Dependent
59,69,Male,Hoodie,Clothing,54,Missouri,M,Charcoal,Summer,4.2,1,Free Shipping,1,1,29,Venmo,Monthly,3,1.0,0.425,0.5,0.5714285714285714,0.49142857142857144,Mid,1,0.2857142857142857,1,0.0,0,Promo Dependent
60,63,Male,Belt,Accessories,79,Louisiana,L,Yellow,Spring,4.6,1,Standard,1,1,4,Debit Card,Weekly,5,1.0,0.7375,1.0,0.061224489795918366,0.6133673469387755,High,1,0.061224489795918366,0,0.0,0,Promo Dependent
61,50,Male,Sweater,Clothing,37,Idaho,L,Brown,Summer,4.0,1,Express,1,1,17,Cash,Weekly,5,1.0,0.2125,1.0,0.32653061224489793,0.4829591836734694,Mid,1,0.32653061224489793,1,0.0,0,Promo Dependent
62,55,Male,Scarf,Accessories,68,Texas,M,Orange,Winter,4.7,1,Store Pickup,1,1,21,Credit Card,Every 3 Months,2,1.0,0.6,0.25,0.40816326530612246,0.4374489795918367,Mid,1,0.10204081632653061,0,0.0,0,Promo Dependent
63,30,Male,Sneakers,Footwear,21,Mississippi,S,Magenta,Spring,3.8,1,Free Shipping,1,1,31,Credit Card,Fortnightly,4,1.0,0.0125,0.75,0.6122448979591837,0.41367346938775507,Mid,1,0.45918367346938777,1,0.0,0,Promo Dependent
64,33,Male,Sunglasses,Accessories,79,Arizona,L,Lavender,Winter,2.7,1,2-Day Shipping,1,1,43,Credit Card,Weekly,5,1.0,0.7375,1.0,0.8571428571428571,0.8521428571428571,Champions,0,0.8571428571428571,1,0.0,0,Promo Dependent
65,65,Male,Boots,Footwear,83,Alabama,S,Green,Fall,4.8,1,Standard,1,1,18,Debit Card,Fortnightly,4,1.0,0.7875,0.75,0.3469387755102041,0.6440816326530613,Champions,1,0.2602040816326531,1,0.0,0,Promo Dependent
66,65,Male,Backpack,Accessories,36,New Jersey,M,Purple,Spring,4.8,1,2-Day Shipping,1,1,44,Venmo,Every 3 Months,2,1.0,0.2,0.25,0.8775510204081632,0.418265306122449,Mid,1,0.2193877551020408,0,0.0,0,Promo Dependent
67,31,Male,Blouse,Clothing,94,Pennsylvania,S,Magenta,Winter,4.7,1,2-Day Shipping,1,1,3,Venmo,Every 3 Months,2,1.0,0.925,0.25,0.04081632653061224,0.4572448979591837,Mid,1,0.01020408163265306,0,0.0,0,Promo Dependent
68,45,Male,Coat,Outerwear,33,Connecticut,L,Gray,Winter,4.4,1,Store Pickup,1,1,49,Debit Card,Monthly,3,1.0,0.1625,0.5,0.9795918367346939,0.5088775510204081,High,1,0.4897959183673469,1,0.0,0,Promo Dependent
69,57,Male,Handbag,Accessories,46,Utah,L,Silver,Summer,3.9,1,Next Day Air,1,1,21,Cash,Every 3 Months,2,1.0,0.325,0.25,0.40816326530612246,0.3274489795918367,Low,1,0.10204081632653061,0,0.0,0,Promo Dependent
70,48,Male,Belt,Accessories,70,Tennessee,S,Cyan,Summer,4.4,1,Express,1,1,5,Cash,Weekly,5,1.0,0.625,1.0,0.08163265306122448,0.5744897959183674,High,1,0.08163265306122448,0,0.0,0,Promo Dependent
71,22,Male,Belt,Accessories,29,Alabama,M,Magenta,Fall,4.2,1,Express,1,1,32,Debit Card,Every 3 Months,2,1.0,0.1125,0.25,0.6326530612244898,0.30979591836734693,Low,1,0.15816326530612246,0,0.0,0,Promo Dependent
72,36,Male,Dress,Clothing,48,Virginia,L,Gold,Summer,2.9,1,Express,1,1,34,Bank Transfer,Annually,1,1.0,0.35,0.0,0.673469387755102,0.3420408163265306,Low,0,0.0,0,0.0,0,Promo Dependent
73,18,Male,Dress,Clothing,26,Georgia,M,Olive,Winter,2.9,1,Store Pickup,1,1,21,Bank Transfer,Every 3 Months,2,1.0,0.075,0.25,0.40816326530612246,0.22744897959183674,Low,0,0.10204081632653061,0,0.0,0,Promo Dependent
74,48,Male,Pants,Clothing,85,Hawaii,M,Teal,Spring,2.7,1,Free Shipping,1,1,43,Bank Transfer,Bi-Weekly,4,1.0,0.8125,0.75,0.8571428571428571,0.8071428571428572,Champions,0,0.6428571428571428,1,0.0,0,Promo Dependent
75,49,Male,Gloves,Accessories,58,Indiana,L,Violet,Spring,4.5,1,Express,1,1,3,Cash,Monthly,3,1.0,0.475,0.5,0.04081632653061224,0.3522448979591836,Low,1,0.02040816326530612,0,0.0,0,Promo Dependent
76,64,Male,Scarf,Accessories,85,Utah,M,Blue,Summer,2.7,1,Free Shipping,1,1,21,Credit Card,Annually,1,1.0,0.8125,0.0,0.40816326530612246,0.4474489795918367,Mid,0,0.0,0,0.0,0,Promo Dependent
77,50,Male,Hat,Accessories,43,Delaware,S,Teal,Summer,4.2,1,Free Shipping,1,1,32,Venmo,Monthly,3,1.0,0.2875,0.5,0.6326530612244898,0.45479591836734695,Mid,1,0.3163265306122449,1,0.0,0,Promo Dependent
78,22,Male,Dress,Clothing,53,Delaware,L,Gold,Summer,3.3,1,Next Day Air,1,1,36,Debit Card,Fortnightly,4,1.0,0.4125,0.75,0.7142857142857143,0.6042857142857143,High,0,0.5357142857142857,1,0.0,0,Promo Dependent
79,50,Male,Skirt,Clothing,91,Nebraska,M,Maroon,Spring,4.7,1,Free Shipping,1,1,50,Venmo,Fortnightly,4,1.0,0.8875,0.75,1.0,0.8799999999999999,Champions,1,0.75,1,0.0,0,Promo Dependent
80,38,Male,Jacket,Outerwear,96,Iowa,M,Olive,Winter,2.6,1,2-Day Shipping,1,1,43,Bank Transfer,Every 3 Months,2,1.0,0.95,0.25,0.8571428571428571,0.7121428571428572,Champions,0,0.21428571428571427,0,0.0,0,Promo Dependent
81,19,Male,Sandals,Footwear,72,New York,XL,Blue,Summer,3.8,1,Store Pickup,1,1,24,Credit Card,Every 3 Months,2,1.0,0.65,0.25,0.46938775510204084,0.47581632653061223,Mid,1,0.11734693877551021,0,0.0,0,Promo Dependent
82,67,Male,Shoes,Footwear,96,Virginia,L,Maroon,Summer,2.6,1,Express,1,1,36,Credit Card,Every 3 Months,2,1.0,0.95,0.25,0.7142857142857143,0.6692857142857143,Champions,0,0.17857142857142858,0,0.0,0,Promo Dependent
83,19,Male,Pants,Clothing,28,Georgia,S,Olive,Spring,4.0,1,2-Day Shipping,1,1,21,Credit Card,Every 3 Months,2,1.0,0.1,0.25,0.40816326530612246,0.23744897959183675,Low,1,0.10204081632653061,0,0.0,0,Promo Dependent
84,36,Male,Dress,Clothing,40,Texas,M,Turquoise,Summer,4.1,1,Standard,1,1,34,Bank Transfer,Weekly,5,1.0,0.25,1.0,0.673469387755102,0.6020408163265306,High,1,0.673469387755102,1,0.0,0,Promo Dependent
85,52,Male,Coat,Outerwear,32,Arizona,S,Peach,Spring,4.4,1,Standard,1,1,42,Bank Transfer,Every 3 Months,2,1.0,0.15,0.25,0.8367346938775511,0.3860204081632653,Mid,1,0.20918367346938777,0,0.0,0,Promo Dependent
86,53,Male,Sunglasses,Accessories,95,New Mexico,M,Charcoal,Winter,4.5,1,Next Day Air,1,1,2,Debit Card,Bi-Weekly,4,1.0,0.9375,0.75,0.02040816326530612,0.6061224489795918,High,1,0.015306122448979591,0,0.0,0,Promo Dependent
87,24,Male,Hoodie,Clothing,41,Nevada,L,Pink,Spring,3.7,1,2-Day Shipping,1,1,47,Cash,Bi-Weekly,4,1.0,0.2625,0.75,0.9387755102040817,0.6116326530612244,High,1,0.7040816326530612,1,0.0,0,Promo Dependent
88,52,Male,Shoes,Footwear,53,Ohio,M,Green,Fall,3.7,1,2-Day Shipping,1,1,44,Debit Card,Fortnightly,4,1.0,0.4125,0.75,0.8775510204081632,0.6532653061224489,Champions,1,0.6581632653061225,1,0.0,0,Promo Dependent
89,33,Male,T-shirt,Clothing,47,Wyoming,M,Orange,Fall,3.5,1,Free Shipping,1,1,35,Credit Card,Monthly,3,1.0,0.3375,0.5,0.6938775510204082,0.4931632653061225,Mid,1,0.3469387755102041,1,0.0,0,Promo Dependent
90,47,Male,Jacket,Outerwear,83,California,XL,Pink,Fall,3.6,1,Next Day Air,1,1,15,Cash,Quarterly,2,1.0,0.7875,0.25,0.2857142857142857,0.4757142857142857,Mid,1,0.07142857142857142,0,0.0,0,Promo Dependent
91,25,Male,Hat,Accessories,48,South Carolina,L,Violet,Summer,2.9,1,Express,1,1,29,Credit Card,Monthly,3,1.0,0.35,0.5,0.5714285714285714,0.4614285714285714,Mid,0,0.2857142857142857,1,0.0,0,Promo Dependent
92,44,Male,Scarf,Accessories,99,South Carolina,S,Green,Winter,4.6,1,Standard,1,1,18,Credit Card,Every 3 Months,2,1.0,0.9875,0.25,0.3469387755102041,0.5740816326530612,High,1,0.08673469387755102,0,0.0,0,Promo Dependent
93,61,Male,Jacket,Outerwear,87,Texas,M,Olive,Winter,4.4,1,2-Day Shipping,1,1,13,Venmo,Every 3 Months,2,1.0,0.8375,0.25,0.24489795918367346,0.48346938775510206,Mid,1,0.061224489795918366,0,0.0,0,Promo Dependent
94,37,Male,Sweater,Clothing,62,Florida,M,Purple,Fall,4.5,1,Standard,1,1,46,Credit Card,Weekly,5,1.0,0.525,1.0,0.9183673469387755,0.7855102040816326,Champions,1,0.9183673469387755,1,0.0,0,Promo Dependent
95,58,Male,Skirt,Clothing,76,Nevada,S,Silver,Spring,4.6,1,Free Shipping,1,1,28,Credit Card,Weekly,5,1.0,0.7,1.0,0.5510204081632653,0.7453061224489795,Champions,1,0.5510204081632653,1,0.0,0,Promo Dependent
96,37,Male,Sneakers,Footwear,100,Missouri,L,Pink,Fall,3.8,1,Free Shipping,1,1,48,PayPal,Monthly,3,1.0,1.0,0.5,0.9591836734693877,0.8377551020408163,Champions,1,0.47959183673469385,1,0.0,0,Promo Dependent
97,32,Male,Gloves,Accessories,73,Delaware,S,Gold,Spring,3.8,1,Express,1,1,43,Venmo,Every 3 Months,2,1.0,0.6625,0.25,0.8571428571428571,0.5971428571428572,High,1,0.21428571428571427,0,0.0,0,Promo Dependent
98,21,Male,Shoes,Footwear,92,Virginia,M,Teal,Winter,4.8,1,Store Pickup,1,1,37,Cash,Annually,1,1.0,0.9,0.0,0.7346938775510204,0.5804081632653062,High,1,0.0,0,0.0,0,Promo Dependent
99,20,Male,Jeans,Clothing,67,New York,XL,Teal,Spring,2.6,1,Next Day Air,1,1,20,Bank Transfer,Annually,1,1.0,0.5875,0.0,0.3877551020408163,0.3513265306122449,Low,0,0.0,0,0.0,0,Promo Dependent
100,26,Male,Hoodie,Clothing,40,Missouri,XL,Indigo,Summer,3.7,1,Express,1,1,33,Debit Card,Quarterly,2,1.0,0.25,0.25,0.6530612244897959,0.3709183673469387,Mid,1,0.16326530612244897,0,0.0,0,Promo Dependent
101,62,Male,Sunglasses,Accessories,98,South Dakota,M,Maroon,Fall,2.7,1,Express,1,1,31,Cash,Fortnightly,4,1.0,0.975,0.75,0.6122448979591837,0.7986734693877551,Champions,0,0.45918367346938777,1,0.0,0,Promo Dependent
102,27,Male,Coat,Outerwear,85,North Dakota,XL,White,Spring,4.6,1,Express,1,1,50,Credit Card,Bi-Weekly,4,1.0,0.8125,0.75,1.0,0.8500000000000001,Champions,1,0.75,1,0.0,0,Promo Dependent
103,51,Male,Socks,Clothing,67,Oklahoma,L,Violet,Winter,4.8,1,Next Day Air,1,1,35,Credit Card,Quarterly,2,1.0,0.5875,0.25,0.6938775510204082,0.5181632653061224,High,1,0.17346938775510204,0,0.0,0,Promo Dependent
104,54,Male,Boots,Footwear,89,West Virginia,L,Red,Winter,4.0,1,Next Day Air,1,1,22,Venmo,Bi-Weekly,4,1.0,0.8625,0.75,0.42857142857142855,0.6985714285714286,Champions,1,0.3214285714285714,1,0.0,0,Promo Dependent
105,55,Male,Sunglasses,Accessories,24,New Hampshire,L,Pink,Spring,4.4,1,2-Day Shipping,1,1,1,PayPal,Monthly,3,1.0,0.05,0.5,0.0,0.16999999999999998,Low,1,0.0,0,0.0,0,Promo Dependent
106,69,Male,Backpack,Accessories,96,New York,M,Charcoal,Fall,3.6,1,Next Day Air,1,1,4,Bank Transfer,Annually,1,1.0,0.95,0.0,0.061224489795918366,0.3983673469387755,Mid,1,0.0,0,0.0,0,Promo Dependent
107,64,Male,Jacket,Outerwear,35,Minnesota,L,White,Summer,3.7,1,Standard,1,1,31,Credit Card,Monthly,3,1.0,0.1875,0.5,0.6122448979591837,0.4086734693877551,Mid,1,0.30612244897959184,1,0.0,0,Promo Dependent
108,28,Male,Sneakers,Footwear,67,Maryland,L,Olive,Winter,3.1,1,Next Day Air,1,1,46,PayPal,Fortnightly,4,1.0,0.5875,0.75,0.9183673469387755,0.7355102040816326,Champions,0,0.6887755102040817,1,0.0,0,Promo Dependent
